sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
F5_T4_R2	40	50	Down	F5	F1	T4	COI	R2	250	8.36	sample
F7_T4_R2	10	100	Down	F7	F3	T4	COI	R2	500	39.2	sample
F8_T4_R2	20	200	Down	F8	F4	T4	COI	R2	250	32.4	sample
G1_T4_R2	40	50	Up	G1	G5	T4	COI	R2	200	34.8	sample
G2_T4_R2	10	100	Up	G2	G6	T4	COI	R2	500	28.8	sample
G3_T4_R2	30	25	Up	G3	G7	T4	COI	R2	500	42.4	sample
G4_T4_R2	30	25	Up	G4	G8	T4	COI	R2	125	12.6	sample
G6_T4_R2	10	100	Down	G6	G2	T4	COI	R2	500	27.4	sample
G7_T4_R2	30	25	Down	G7	G3	T4	COI	R2	500	28.2	sample
G8_T4_R2	30	25	Down	G8	G4	T4	COI	R2	500	1.63	sample
H1_T4_R2	20	0	Up	H1	H5	T4	COI	R2	500	6.86	sample
H2_T4_R2	0	200	Up	H2		T4	COI	R2	500	39.6	sample
H4_T4_R2	20	50	Up	H4	H8	T4	COI	R2	125	27.4	sample
H5_T4_R2	20	0	Down	H5	H1	T4	COI	R2	500	21.8	sample
H8_T4_R2	20	50	Down	H8	H4	T4	COI	R2	250	11.5	sample
I2_T4_R2	10	25	Up	I2	I6	T4	COI	R2	500	36	sample
I5_T4_R2	0	0	Up	I5		T4	COI	R2	500	34	sample
I6_T4_R2	10	25	Down	I6	I2	T4	COI	R2	500	20.6	sample
Resv_T4_R2				Resv		T4	COI	R2	500	26.6	resv
Cont_T4_R2				Cont		T4	COI	R2	500	0.104	blank
A4_T5_R2	0	50	Up	A4		T5	COI	R2	150	56.6	sample
B1_T5_R2	40	0	Up	B1	B5	T5	COI	R2	500	57.4	sample
B2_T5_R2	10	25	Up	B2	B6	T5	COI	R2	500	20.8	sample
B3_T5_R2	30	100	Up	B3	B7	T5	COI	R2	250	34.6	sample
