sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType			
G6_T1_R1	10	100	Down	G6		T1	18S	R1	500	50.2	sample			
G7_T1_R1	30	25	Down	G7		T1	18S	R1	500	40.8	sample			
G8_T1_R1	30	25	Down	G8		T1	18S	R1	500	50.4	sample			
H8_T1_R1	20	50	Down	H8		T1	18S	R1	500	50	sample			
I5_T1_R1	0	0	Up	I5		T1	18S	R1	500	47	sample			
I6_T1_R1	10	25	Down	I6		T1	18S	R1	500	54.4	sample			
Cont_T1_R1				Cont		T1	18S	R1	500	12.9	blank			
A4_T2_18S _R2	0	50	Up	A4		T2	18S	R2	500	95	sample			
B1_T2_18S_R2	40	0	Up	B1	B5	T2	18S	R2	500	27.6	sample			
B2_T2_18S_R2	10	25	Up	B2	B6	T2	18S	R2	500	13	sample			
B3_T2_18S_R2	30	100	Up	B3	B7	T2	18S	R2	500	47	sample			
B4_T2_18S_R2	40	200	Up	B4	B8	T2	18S	R2	500	47	sample			
B5_T2_18S_R2	40	0	Down	B5	B1	T2	18S	R2	500	38.8	sample			
B6_T2_18S_R2	10	25	Down	B6	B2	T2	18S	R2	500	46.2	sample			
B7_T2_18S_R2	30	100	Down	B7	B3	T2	18S	R2	500	35	sample			
B8_T2_18S_R2	40	200	Down	B8	B4	T2	18S	R2	500	37.8	sample			
C1_T2_18S_R2	0	0	Up	C1		T2	18S	R2	500	36.6	sample			
C2_T2_18S_R2	20	0	Up	C2	C6	T2	18S	R2	500	30	sample			
C3_T2_18S_R2	40	200	Up	C3	C7	T2	18S	R2	100	31.8	sample			
C6_T2_18S_R2	20	0	Down	C6	C2	T2	18S	R2	500	55	sample			
C7_T2_18S_R2	40	200	Down	C7	C3	T2	18S	R2	500	65.2	sample			
D1_T2_18S_R2	20	50	Up	D1	D5	T2	18S	R2	500	32.2	sample			
D2_T2_18S_R2	20	200	Up	D2	D6	T2	18S	R2	200	56.4	sample			
D4_T2_18S_R2	0	0	Up	D4		T2	18S	R2	500	26.8	sample			
D5_T2_18S_R2	20	50	Down	D5	D1	T2	18S	R2	500	30	sample			
D6_T2_18S_R2	20	200	Down	D6	D2	T2	18S	R2	100	31.4	sample			
E1_T2_18S_R2	30	100	Up	E1	E5	T2	18S	R2	500	53	sample			
E2_T2_18S_R2	0	200	Up	E2		T2	18S	R2	100	3.68	sample			
E3_T2_18S_R2	40	0	Up	E3	E7	T2	18S	R2	500	46.6	sample			
E5_T2_18S_R2	30	100	Down	E5	E1	T2	18S	R2	500	54	sample			
E7_T2_18S_R2	40	0	Down	E7	E3	T2	18S	R2	500	56.6	sample			
F1_T2_18S_R2	40	50	Up	F1	F5	T2	18S	R2	250	33.6	sample			
